number	book	chapter	verse	trchapter	trverse	trtext
14073	14	48	9	48	9	The special portion you set apart to the LORD shall be 25,000 cubits long and 10,000 cubits wide.
14074	14	48	10	48	10	This will be the holy portion for the priests. It will be 25,000 cubits long on the north side, 10,000 cubits wide on the west side, 10,000 cubits wide on the east side, and 25,000 cubits long on the south side. In the center will be the sanctuary of the LORD.
14075	14	48	11	48	11	It will be for the consecrated priests, the descendants of Zadok, who kept My charge and did not go astray as the Levites did when the Israelites went astray.
14076	14	48	12	48	12	It will be a special portion for them set apart from the land, a most holy portion adjacent to the territory of the Levites.
14077	14	48	13	48	13	Bordering the territory of the priests, the Levites shall have an area 25,000 cubits long and 10,000 cubits wide. The whole length will be 25,000 cubits, and the width 10,000 cubits.
14078	14	48	14	48	14	They must not sell or exchange any of it, and they must not transfer this best part of the land, for it is holy to the LORD.
14079	14	48	15	48	15	The remaining area, 5,000 cubits wide and 25,000 cubits long, will be for common use by the city, for houses, and for pastureland. The city will be in the center of it
14080	14	48	16	48	16	and will have these measurements: 4,500 cubits on the north side, 4,500 cubits on the south side, 4,500 cubits on the east side, and 4,500 cubits on the west side.
14081	14	48	17	48	17	The pastureland of the city will extend 250 cubits to the north, 250 cubits to the south, 250 cubits to the east, and 250 cubits to the west.
14082	14	48	18	48	18	The remainder of the length bordering the holy portion and running adjacent to it will be 10,000 cubits on the east side and 10,000 cubits on the west side. Its produce will supply food for the workers of the city.
14083	14	48	19	48	19	The workers of the city who cultivate it will come from all the tribes of Israel.
14084	14	48	20	48	20	The entire portion will be a square, 25,000 cubits by 25,000 cubits. You are to set apart the holy portion, along with the city property.
14085	14	48	21	48	21	The remaining area on both sides of the holy portion and of the property of the city will belong to the prince. He will own the land adjacent to the tribal portions, extending eastward from the 25,000 cubits of the holy district toward the eastern border, and westward from the 25,000 cubits to the western border. And in the center of them will be the holy portion and the sanctuary of the temple.
14086	14	48	22	48	22	So the Levitical property and the city property will lie in the center of the area belonging to the prince—the area between the borders of Judah and Benjamin.
14087	14	48	23	48	23	As for the rest of the tribes: Benjamin will have one portion extending from the east side to the west side.
14088	14	48	24	48	24	Simeon will have one portion bordering the territory of Benjamin from east to west.
14089	14	48	25	48	25	Issachar will have one portion bordering the territory of Simeon from east to west.
14090	14	48	26	48	26	Zebulun will have one portion bordering the territory of Issachar from east to west.
14091	14	48	27	48	27	And Gad will have one portion bordering the territory of Zebulun from east to west.
14092	14	48	28	48	28	The southern border of Gad will run from Tamar to the waters of Meribath-kadesh, then along the Brook of Egypt and out to the Great Sea.
14093	14	48	29	48	29	This is the land you are to allot as an inheritance to the tribes of Israel, and these will be their portions,” declares the Lord GOD.
14094	14	48	30	48	30	“These will be the exits of the city: Beginning on the north side, which will be 4,500 cubits long,
14095	14	48	31	48	31	the gates of the city will be named after the tribes of Israel. On the north side there will be three gates: the gate of Reuben, the gate of Judah, and the gate of Levi.
14096	14	48	32	48	32	On the east side, which will be 4,500 cubits long, there will be three gates: the gate of Joseph, the gate of Benjamin, and the gate of Dan.
14097	14	48	33	48	33	On the south side, which will be 4,500 cubits long, there will be three gates: the gate of Simeon, the gate of Issachar, and the gate of Zebulun.
14098	14	48	34	48	34	And on the west side, which will be 4,500 cubits long, there will be three gates: the gate of Gad, the gate of Asher, and the gate of Naphtali.
14099	14	48	35	48	35	The perimeter of the city will be 18,000 cubits, and from that day on the name of the city will be: THE LORD IS THERE.”
14100	15	1	1	1	1	This is the word of the LORD that came to Hosea son of Beeri in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and of Jeroboam son of Jehoash, king of Israel.
14101	15	1	2	1	2	When the LORD first spoke to Hosea, He told him, “Go, take a prostitute as your wife and have children of adultery, because this land is flagrantly prostituting itself by departing from the LORD.”
14102	15	1	3	1	3	So Hosea went and married Gomer daughter of Diblaim, and she conceived and bore him a son.
14103	15	1	4	1	4	Then the LORD said to Hosea, “Name him Jezreel, for soon I will bring the bloodshed of Jezreel upon the house of Jehu, and I will put an end to the kingdom of Israel.
14104	15	1	5	1	5	And on that day I will break the bow of Israel in the Valley of Jezreel.”
14105	15	1	6	1	6	Gomer again conceived and gave birth to a daughter, and the LORD said to Hosea, “Name her Lo-ruhamah, for I will no longer have compassion on the house of Israel, that I should ever forgive them.
14106	15	1	7	1	7	Yet I will have compassion on the house of Judah, and I will save them—not by bow or sword or war, not by horses and cavalry, but by the LORD their God.”
14107	15	1	8	1	8	After she had weaned Lo-ruhamah, Gomer conceived and gave birth to a son.
14108	15	1	9	1	9	And the LORD said, “Name him Lo-ammi, for you are not My people, and I am not your God.
14109	15	2	1	1	10	Yet the number of the Israelites will be like the sand of the sea, which cannot be measured or counted. And it will happen that in the very place where it was said to them, ‘You are not My people,’ they will be called ‘sons of the living God.’
14110	15	2	2	1	11	Then the people of Judah and of Israel will be gathered together, and they will appoint for themselves one leader, and will go up out of the land. For great will be the day of Jezreel.”
14111	15	2	3	2	1	“Say of your brothers, ‘My people,’ and of your sisters, ‘My loved one.’
14112	15	2	4	2	2	Rebuke your mother, rebuke her, for she is not My wife, and I am not her husband. Let her remove the adultery from her face and the unfaithfulness from between her breasts.
14113	15	2	5	2	3	Otherwise, I will strip her naked and expose her like the day of her birth. I will make her like a desert and turn her into a parched land, and I will let her die of thirst.
14114	15	2	6	2	4	I will have no compassion on her children, because they are the children of adultery.
14115	15	2	7	2	5	For their mother has played the harlot and has conceived them in disgrace. For she thought, ‘I will go after my lovers, who give me bread and water, wool and linen, oil and drink.’
14116	15	2	8	2	6	Therefore, behold, I will hedge up her path with thorns; I will enclose her with a wall, so she cannot find her way.
14117	15	2	9	2	7	She will pursue her lovers but not catch them; she will seek them but not find them. Then she will say, ‘I will return to my first husband, for then I was better off than now.’
14118	15	2	10	2	8	For she does not acknowledge that it was I who gave her grain, new wine, and oil, who lavished on her silver and gold—which they crafted for Baal.
14119	15	2	11	2	9	Therefore I will take back My grain in its time and My new wine in its season; I will take away My wool and linen, which were given to cover her nakedness.
14120	15	2	12	2	10	And then I will expose her lewdness in the sight of her lovers, and no one will deliver her out of My hands.
14121	15	2	13	2	11	I will put an end to all her exultation: her feasts, New Moons, and Sabbaths—all her appointed feasts.
14122	15	2	14	2	12	I will destroy her vines and fig trees, which she thinks are the wages paid by her lovers. So I will make them into a thicket, and the beasts of the field will devour them.
14123	15	2	15	2	13	I will punish her for the days of the Baals when she burned incense to them, when she decked herself with rings and jewelry, and went after her lovers. But Me she forgot,” declares the LORD.
14124	15	2	16	2	14	“Therefore, behold, I will allure her and lead her to the wilderness, and speak to her tenderly.
14125	15	2	17	2	15	There I will give back her vineyards and make the Valley of Achor into a gateway of hope. There she will respond as she did in the days of her youth, as in the day she came up out of Egypt.
14126	15	2	18	2	16	In that day,” declares the LORD, “you will call Me ‘my Husband,’ and no longer call Me ‘my Master.’
14127	15	2	19	2	17	For I will remove from her lips the names of the Baals; no longer will their names be invoked.
14128	15	2	20	2	18	On that day I will make a covenant for them with the beasts of the field and the birds of the air and the creatures that crawl on the ground. And I will abolish bow and sword and weapons of war in the land, and will make them lie down in safety.
14129	15	2	21	2	19	So I will betroth you to Me forever; I will betroth you in righteousness and justice, in loving devotion and compassion.
14130	15	2	22	2	20	And I will betroth you in faithfulness, and you will know the LORD.”
14131	15	2	23	2	21	“On that day I will respond—” declares the LORD—“I will respond to the heavens, and they will respond to the earth.
14132	15	2	24	2	22	And the earth will respond to the grain, to the new wine and oil, and they will respond to Jezreel.
14133	15	2	25	2	23	And I will sow her as My own in the land, and I will have compassion on ‘No Compassion.’ I will say to those called ‘Not My People,’ ‘You are My people,’ and they will say, ‘You are my God.’”
14134	15	3	1	3	1	Then the LORD said to me, “Go show love to your wife again, though she is loved by another and is an adulteress. Love her as the LORD loves the Israelites, though they turn to other gods and offer raisin cakes to idols.”
14135	15	3	2	3	2	So I bought her for fifteen shekels of silver and a homer and a lethek of barley.
14136	15	3	3	3	3	Then I said to her, “You must live with me for many days; you must not be promiscuous or belong to another, and I will do the same for you.”
14137	15	3	4	3	4	For the Israelites must live many days without king or prince, without sacrifice or sacred pillar, and without ephod or idol.
14138	15	3	5	3	5	Afterward, the people of Israel will return and seek the LORD their God and David their king. They will come trembling to the LORD and to His goodness in the last days.
14139	15	4	1	4	1	Hear the word of the LORD, O children of Israel, for the LORD has a case against the people of the land: “There is no truth, no loving devotion, and no knowledge of God in the land!
14140	15	4	2	4	2	Cursing and lying, murder and stealing, and adultery are rampant; one act of bloodshed follows another.
14141	15	4	3	4	3	Therefore the land mourns, and all who dwell in it will waste away with the beasts of the field and the birds of the air; even the fish of the sea disappear.
14142	15	4	4	4	4	But let no man contend; let no man offer reproof; for your people are like those who contend with a priest.
14143	15	4	5	4	5	You will stumble by day, and the prophet will stumble with you by night. So I will destroy your mother—
14144	15	4	6	4	6	My people are destroyed for lack of knowledge. Because you have rejected knowledge, I will also reject you as My priests. Since you have forgotten the law of your God, I will also forget your children.
14145	15	4	7	4	7	The more they multiplied, the more they sinned against Me; they exchanged their Glory for a thing of disgrace.
14146	15	4	8	4	8	They feed on the sins of My people and set their hearts on iniquity.
14147	15	4	9	4	9	And it shall be like people, like priest. I will punish both of them for their ways and repay them for their deeds.
14148	15	4	10	4	10	They will eat but not be satisfied; they will be promiscuous but not multiply. For they have stopped obeying the LORD.
14149	15	4	11	4	11	Promiscuity, wine, and new wine take away understanding.
14150	15	4	12	4	12	My people consult their wooden idols, and their divining rods inform them. For a spirit of prostitution leads them astray and they have played the harlot against their God.
14151	15	4	13	4	13	They sacrifice on the mountaintops and burn offerings on the hills, under oak, poplar, and terebinth, because their shade is pleasant. And so your daughters turn to prostitution and your daughters-in-law to adultery.
14152	15	4	14	4	14	I will not punish your daughters when they prostitute themselves or your daughters-in-law when they commit adultery. For the men themselves go off with prostitutes and offer sacrifices with cult prostitutes. So a people without understanding will come to ruin.
14153	15	4	15	4	15	Though you prostitute yourself, O Israel, may Judah avoid such guilt! Do not journey to Gilgal, do not go up to Beth-aven, and do not swear on oath, ‘As surely as the LORD lives!’
14154	15	4	16	4	16	For Israel is as obstinate as a stubborn heifer. Can the LORD now shepherd them like lambs in an open meadow?
14155	15	4	17	4	17	Ephraim is joined to idols; leave him alone!
14156	15	4	18	4	18	When their liquor is gone, they turn to prostitution; their rulers dearly love disgrace.
14157	15	4	19	4	19	The whirlwind has wrapped them in its wings, and their sacrifices will bring them shame.”
14158	15	5	1	5	1	“Hear this, O priests! Take heed, O house of Israel! Give ear, O royal house! For this judgment is against you because you have been a snare at Mizpah, a net spread out on Tabor.
14159	15	5	2	5	2	The rebels are deep in slaughter; but I will chastise them all.
14160	15	5	3	5	3	I know all about Ephraim, and Israel is not hidden from Me. For now, O Ephraim, you have turned to prostitution; Israel is defiled.
14161	15	5	4	5	4	Their deeds do not permit them to return to their God, for a spirit of prostitution is within them, and they do not know the LORD.
14162	15	5	5	5	5	Israel’s arrogance testifies against them; Israel and Ephraim stumble in their iniquity; even Judah stumbles with them.
14163	15	5	6	5	6	They go with their flocks and herds to seek the LORD, but they do not find Him; He has withdrawn Himself from them.
14164	15	5	7	5	7	They have been unfaithful to the LORD; for they have borne illegitimate children. Now the New Moon will devour them along with their land.
14165	15	5	8	5	8	Blow the ram’s horn in Gibeah, the trumpet in Ramah; raise the battle cry in Beth-aven: Lead on, O Benjamin!
14166	15	5	9	5	9	Ephraim will be laid waste on the day of rebuke. Among the tribes of Israel I proclaim what is certain.
14167	15	5	10	5	10	The princes of Judah are like those who move boundary stones; I will pour out My fury upon them like water.
14168	15	5	11	5	11	Ephraim is oppressed, crushed in judgment, for he is determined to follow worthless idols.
14169	15	5	12	5	12	So I am like a moth to Ephraim, and like decay to the house of Judah.
14170	15	5	13	5	13	When Ephraim saw his sickness and Judah his wound, then Ephraim turned to Assyria and sent to the great king. But he cannot cure you or heal your wound.
14171	15	5	14	5	14	For I am like a lion to Ephraim and like a young lion to the house of Judah. I, even I, will tear them to pieces and then go away. I will carry them off where no one can rescue them.
14172	15	5	15	5	15	Then I will return to My place until they admit their guilt and seek My face; in their affliction they will earnestly seek Me.”
14173	15	6	1	6	1	Come, let us return to the LORD. For He has torn us to pieces, but He will heal us; He has wounded us, but He will bind up our wounds.
14174	15	6	2	6	2	After two days He will revive us; on the third day He will raise us up, that we may live in His presence.
14175	15	6	3	6	3	So let us know—let us press on to know the LORD. As surely as the sun rises, He will appear; He will come to us like the rain, like the spring showers that water the earth.
14176	15	6	4	6	4	What shall I do with you, O Ephraim? What shall I do with you, O Judah? For your loyalty is like a morning mist, like the early dew that vanishes.
14177	15	6	5	6	5	Therefore I have hewn them by the prophets; I have slain them by the words of My mouth, and My judgments go forth like lightning.
14178	15	6	6	6	6	For I desire mercy, not sacrifice, and the knowledge of God rather than burnt offerings.
14179	15	6	7	6	7	But they, like Adam, have transgressed the covenant; there they were unfaithful to Me.
14180	15	6	8	6	8	Gilead is a city of evildoers, tracked with footprints of blood.
14181	15	6	9	6	9	Like raiders who lie in ambush, so does a band of priests; they murder on the way to Shechem; surely they have committed atrocities.
14182	15	6	10	6	10	In the house of Israel I have seen a horrible thing: Ephraim practices prostitution there, and Israel is defiled.
14183	15	6	11	6	11	Also for you, O Judah, a harvest is appointed, when I restore My people from captivity.
14184	15	7	1	7	1	When I heal Israel, the iniquity of Ephraim will be exposed, as well as the crimes of Samaria. For they practice deceit and thieves break in; bandits raid in the streets.
14185	15	7	2	7	2	But they fail to consider in their hearts that I remember all their evil. Now their deeds are all around them; they are before My face.
14186	15	7	3	7	3	They delight the king with their evil, and the princes with their lies.
14187	15	7	4	7	4	They are all adulterers, like an oven heated by a baker who needs not stoke the fire from the kneading to the rising of the dough.
14188	15	7	5	7	5	The princes are inflamed with wine on the day of our king; so he joins hands with those who mock him.
14189	15	7	6	7	6	For they prepare their heart like an oven while they lie in wait; all night their anger smolders; in the morning it blazes like a flaming fire.
14190	15	7	7	7	7	All of them are hot as an oven, and they devour their rulers. All their kings fall; not one of them calls upon Me.
14191	15	7	8	7	8	Ephraim mixes with the nations; Ephraim is an unturned cake.
14192	15	7	9	7	9	Foreigners consume his strength, but he does not notice. Even his hair is streaked with gray, but he does not know.
14193	15	7	10	7	10	Israel’s arrogance testifies against them, yet they do not return to the LORD their God; despite all this, they do not seek Him.
14194	15	7	11	7	11	So Ephraim has become like a silly, senseless dove—calling out to Egypt, then turning to Assyria.
14195	15	7	12	7	12	As they go, I will spread My net over them; I will bring them down like birds of the air. I will chastise them when I hear them flocking together.
14196	15	7	13	7	13	Woe to them, for they have strayed from Me! Destruction to them, for they have rebelled against Me! Though I would redeem them, they speak lies against Me.
14197	15	7	14	7	14	They do not cry out to Me from their hearts when they wail upon their beds. They slash themselves for grain and new wine, but turn away from Me.
14198	15	7	15	7	15	Although I trained and strengthened their arms, they plot evil against Me.
14199	15	7	16	7	16	They turn, but not to the Most High; they are like a faulty bow. Their leaders will fall by the sword for the cursing of their tongue; for this they will be ridiculed in the land of Egypt.
14200	15	8	1	8	1	Put the ram’s horn to your lips! An eagle looms over the house of the LORD, because the people have transgressed My covenant and rebelled against My law.
14201	15	8	2	8	2	Israel cries out to Me, “O our God, we know You!”
14202	15	8	3	8	3	But Israel has rejected good; an enemy will pursue him.
14203	15	8	4	8	4	They set up kings, but not by Me. They make princes, but without My approval. With their silver and gold they make themselves idols, to their own destruction.
14204	15	8	5	8	5	He has rejected your calf, O Samaria. My anger burns against them. How long will they be incapable of innocence?
14205	15	8	6	8	6	For this thing is from Israel—a craftsman made it, and it is not God. It will be broken to pieces, that calf of Samaria.
14206	15	8	7	8	7	Indeed, they sow the wind and reap the whirlwind. There is no standing grain; what sprouts fails to yield flour. Even if it should produce, the foreigners would swallow it up.
14207	15	8	8	8	8	Israel is swallowed up! Now they are among the nations like a worthless vessel.
14208	15	8	9	8	9	For they have gone up to Assyria like a wild donkey on its own. Ephraim has hired lovers.
14209	15	8	10	8	10	Though they hire allies among the nations, I will now round them up, and they will begin to diminish under the oppression of the king of princes.
14210	15	8	11	8	11	Though Ephraim multiplied the altars for sin, they became his altars for sinning.
14211	15	8	12	8	12	Though I wrote for them the great things of My law, they regarded them as something strange.
14212	15	8	13	8	13	Though they offer sacrifices as gifts to Me, and though they eat the meat, the LORD does not accept them. Now He will remember their iniquity and punish their sins: They will return to Egypt.
14213	15	8	14	8	14	Israel has forgotten his Maker and built palaces; Judah has multiplied its fortified cities. But I will send fire upon their cities, and it will consume their citadels.
14214	15	9	1	9	1	Do not rejoice, O Israel, with exultation like the nations, for you have played the harlot against your God; you have made love for hire on every threshing floor.
14215	15	9	2	9	2	The threshing floor and winepress will not feed them, and the new wine will fail them.
14216	15	9	3	9	3	They will not remain in the land of the LORD; Ephraim will return to Egypt and eat unclean food in Assyria.
14217	15	9	4	9	4	They will not pour out wine offerings to the LORD, and their sacrifices will not please Him, but will be to them like the bread of mourners; all who eat will be defiled. For their bread will be for themselves; it will not enter the house of the LORD.
14218	15	9	5	9	5	What will you do on the appointed day, on the day of the LORD’s feast?
14219	15	9	6	9	6	For even if they flee destruction, Egypt will gather them and Memphis will bury them. Their precious silver will be taken over by thistles, and thorns will overrun their tents.
14220	15	9	7	9	7	The days of punishment have come; the days of retribution have arrived—let Israel know it. The prophet is called a fool, and the inspired man insane, because of the greatness of your iniquity and hostility.
14221	15	9	8	9	8	The prophet is Ephraim’s watchman, along with my God, yet the snare of the fowler lies on all his paths. Hostility is in the house of his God!
14222	15	9	9	9	9	They have deeply corrupted themselves as in the days of Gibeah; He will remember their guilt; He will punish their sins.
14223	15	9	10	9	10	I found Israel like grapes in the wilderness. I saw your fathers as the firstfruits of the fig tree in its first season. But they went to Baal-peor, and consecrated themselves to Shame; so they became as detestable as the thing they loved.
14224	15	9	11	9	11	Ephraim’s glory will fly away like a bird, with no birth, no pregnancy, and no conception.
14225	15	9	12	9	12	Even if they raise their children, I will bereave them of each one. Yes, woe be to them when I turn away from them!
14226	15	9	13	9	13	I have seen Ephraim, like Tyre, planted in a meadow. But Ephraim will bring out his children for slaughter.
14227	15	9	14	9	14	Give them, O LORD—what will You give? Give them wombs that miscarry and breasts that dry up!
14228	15	9	15	9	15	All their evil appears at Gilgal, for there I hated them. I will drive them from My house for the wickedness of their deeds. I will no longer love them; all their leaders are rebellious.
14229	15	9	16	9	16	Ephraim is struck down; their root is withered; they cannot bear fruit. Even if they bear children, I will slay the darlings of their wombs.
14230	15	9	17	9	17	My God will reject them because they have not obeyed Him; and they shall be wanderers among the nations.
14231	15	10	1	10	1	Israel was a luxuriant vine, yielding fruit for himself. The more his fruit increased, the more he increased the altars. The better his land produced, the better he made the sacred pillars.
14232	15	10	2	10	2	Their hearts are devious; now they must bear their guilt. The LORD will break down their altars and demolish their sacred pillars.
14233	15	10	3	10	3	Surely now they will say, “We have no king, for we do not revere the LORD. What can a king do for us?”
14234	15	10	4	10	4	They speak mere words; with false oaths they make covenants. So judgment springs up like poisonous weeds in the furrows of a field.
14235	15	10	5	10	5	The people of Samaria will fear for the calf of Beth-aven. Indeed, its people will mourn with its idolatrous priests—those who rejoiced in its glory—for it has been taken from them into exile.
14236	15	10	6	10	6	Yes, it will be carried to Assyria as tribute to the great king. Ephraim will be seized with shame; Israel will be ashamed of its wooden idols.
14237	15	10	7	10	7	Samaria will be carried off with her king like a twig on the surface of the water.
14238	15	10	8	10	8	The high places of Aven will be destroyed—it is the sin of Israel; thorns and thistles will overgrow their altars. Then they will say to the mountains, “Cover us!” and to the hills, “Fall on us!”
14239	15	10	9	10	9	Since the days of Gibeah you have sinned, O Israel, and there you have remained. Did not the battle in Gibeah overtake the sons of iniquity?
14240	15	10	10	10	10	I will chasten them when I please; nations will be gathered against them to put them in bondage for their double transgression.
14241	15	10	11	10	11	Ephraim is a well-trained heifer that loves to thresh; but I will place a yoke on her fair neck. I will harness Ephraim, Judah will plow, and Jacob will break the hard ground.
14242	15	10	12	10	12	Sow for yourselves righteousness and reap the fruit of loving devotion; break up your unplowed ground. For it is time to seek the LORD until He comes and sends righteousness upon you like rain.
14243	15	10	13	10	13	You have plowed wickedness and reaped injustice; you have eaten the fruit of lies. Because you have trusted in your own way and in the multitude of your mighty men,
14244	15	10	14	10	14	the roar of battle will rise against your people, so that all your fortresses will be demolished as Shalman devastated Beth-arbel in the day of battle, when mothers were dashed to pieces along with their children.
14245	15	10	15	10	15	Thus it will be done to you, O Bethel, because of your great wickedness. When the day dawns, the king of Israel will be utterly cut off.
14246	15	11	1	11	1	When Israel was a child, I loved him, and out of Egypt I called My son.
14247	15	11	2	11	2	But the more I called Israel, the farther they departed from Me. They sacrificed to the Baals and burned incense to carved images.
14248	15	11	3	11	3	It was I who taught Ephraim to walk, taking them in My arms, but they never realized that it was I who healed them.
14249	15	11	4	11	4	I led them with cords of kindness, with ropes of love; I lifted the yoke from their necks and bent down to feed them.
14250	15	11	5	11	5	Will they not return to the land of Egypt and be ruled by Assyria because they refused to repent?
14251	15	11	6	11	6	A sword will flash through their cities; it will destroy the bars of their gates and consume them in their own plans.
14252	15	11	7	11	7	My people are bent on turning from Me. Though they call to the Most High, He will by no means exalt them.
14253	15	11	8	11	8	How could I give you up, O Ephraim? How could I surrender you, O Israel? How could I make you like Admah? How could I treat you like Zeboiim? My heart is turned within Me; My compassion is stirred!
14254	15	11	9	11	9	I will not execute the full fury of My anger; I will not turn back to destroy Ephraim. For I am God and not man—the Holy One among you—and I will not come in wrath.
14255	15	11	10	11	10	They will walk after the LORD; He will roar like a lion. When He roars, His children will come trembling from the west.
14256	15	11	11	11	11	They will come trembling like birds from Egypt and like doves from the land of Assyria. Then I will settle them in their homes, declares the LORD.
14257	15	12	1	11	12	Ephraim surrounds me with lies, the house of Israel with deceit; but Judah still walks with God and is faithful to the Holy One.
14258	15	12	2	12	1	Ephraim chases the wind and pursues the east wind all day long; he multiplies lies and violence; he makes a covenant with Assyria and sends olive oil to Egypt.
14259	15	12	3	12	2	The LORD also brings a charge against Judah. He will punish Jacob according to his ways and repay him according to his deeds.
14260	15	12	4	12	3	In the womb he grasped his brother’s heel, and in his vigor he wrestled with God.
14261	15	12	5	12	4	Yes, he struggled with the angel and prevailed; he wept and sought His favor; he found Him at Bethel and spoke with Him there—
14262	15	12	6	12	5	the LORD is the God of Hosts—the LORD is His name of renown.
14263	15	12	7	12	6	But you must return to your God, maintaining love and justice, and always waiting on your God.
14264	15	12	8	12	7	A merchant loves to defraud with dishonest scales in his hands.
14265	15	12	9	12	8	And Ephraim boasts: “How rich I have become; I have found wealth for myself. In all my labors, they can find in me no iniquity that is sinful.”
14266	15	12	10	12	9	But I am the LORD your God ever since the land of Egypt. I will again make you dwell in tents, as in the days of the appointed feast.
14267	15	12	11	12	10	I spoke through the prophets and multiplied their visions; I gave parables through the prophets.
14268	15	12	12	12	11	Is there iniquity in Gilead? They will surely come to nothing. Do they sacrifice bulls in Gilgal? Indeed, their altars will be heaps of stones in the furrows of the field.
14269	15	12	13	12	12	Jacob fled to the land of Aram and Israel worked for a wife—for a wife he tended sheep.
14270	15	12	14	12	13	But by a prophet the LORD brought Israel out of Egypt, and by a prophet he was preserved.
14271	15	12	15	12	14	Ephraim has provoked bitter anger, so his Lord will leave his bloodguilt upon him and repay him for his contempt.
14272	15	13	1	13	1	When Ephraim spoke, there was trembling; he was exalted in Israel. But he incurred guilt through Baal, and he died.
14273	15	13	2	13	2	Now they sin more and more and make for themselves cast images, idols skillfully made from their silver, all of them the work of craftsmen. People say of them, “They offer human sacrifice and kiss the calves!”
14274	15	13	3	13	3	Therefore they will be like the morning mist, like the early dew that vanishes, like chaff blown from a threshing floor, like smoke through an open window.
14275	15	13	4	13	4	Yet I am the LORD your God ever since the land of Egypt; you know no God but Me, for there is no Savior besides Me.
14276	15	13	5	13	5	I knew you in the wilderness, in the land of drought.
14277	15	13	6	13	6	When they had pasture, they became satisfied; when they were satisfied, their hearts became proud, and as a result they forgot Me.
14278	15	13	7	13	7	So like a lion I will pounce on them; like a leopard I will lurk by the path.
14279	15	13	8	13	8	Like a bear robbed of her cubs I will attack them, and I will tear open their chests. There I will devour them like a lion, like a wild beast would tear them apart.
14280	15	13	9	13	9	You are destroyed, O Israel, because you are against Me—against your helper.
14281	15	13	10	13	10	Where is your king now to save you in all your cities, and the rulers to whom you said, “Give me a king and princes”?
14282	15	13	11	13	11	So in My anger I gave you a king, and in My wrath I took him away.
14283	15	13	12	13	12	The iniquity of Ephraim is bound up; his sin is stored up.
14284	15	13	13	13	13	Labor pains come upon him, but he is an unwise son. When the time arrives, he fails to present himself at the opening of the womb.
14285	15	13	14	13	14	I will ransom them from the power of Sheol; I will redeem them from Death. Where, O Death, are your plagues? Where, O Sheol, is your sting? Compassion is hidden from My eyes.
14286	15	13	15	13	15	Although he flourishes among his brothers, an east wind will come—a wind from the LORD rising up from the desert. His fountain will fail, and his spring will run dry. The wind will plunder his treasury of every precious article.
14287	15	14	1	13	16	Samaria will bear her guilt because she has rebelled against her God. They will fall by the sword; their little ones will be dashed to pieces, and their pregnant women ripped open.
14288	15	14	2	14	1	Return, O Israel, to the LORD your God, for you have stumbled by your iniquity.
14289	15	14	3	14	2	Bring your confessions and return to the LORD. Say to Him: “Take away all our iniquity and receive us graciously, that we may present the fruit of our lips.
14290	15	14	4	14	3	Assyria will not save us, nor will we ride on horses. We will never again say, ‘Our gods!’ to the work of our own hands. For in You the fatherless find compassion.”
14291	15	14	5	14	4	I will heal their apostasy; I will freely love them, for My anger has turned away from them.
14292	15	14	6	14	5	I will be like the dew to Israel; he will blossom like the lily and take root like the cedars of Lebanon.
14293	15	14	7	14	6	His shoots will sprout, and his splendor will be like the olive tree, his fragrance like the cedars of Lebanon.
14294	15	14	8	14	7	They will return and dwell in his shade; they will grow grain and blossom like the vine. His renown will be like the wine of Lebanon.
14295	15	14	9	14	8	O Ephraim, what have I to do anymore with idols? It is I who answer and watch over him. I am like a green cypress tree; your fruit comes from Me.
14296	15	14	10	14	9	Whoever is wise, let him understand these things; whoever is discerning, let him know them. For the ways of the LORD are right, and the righteous walk in them but the rebellious stumble in them.
14297	16	1	1	1	1	This is the word of the LORD that came to Joel son of Pethuel:
14298	16	1	2	1	2	Hear this, O elders; and give ear, all who dwell in the land. Has anything like this ever happened in your days or in the days of your fathers?
14299	16	1	3	1	3	Tell it to your children; let your children tell it to their children, and their children to the next generation.
14300	16	1	4	1	4	What the devouring locust has left, the swarming locust has eaten; what the swarming locust has left, the young locust has eaten; and what the young locust has left, the destroying locust has eaten.
14301	16	1	5	1	5	Wake up, you drunkards, and weep; wail, all you drinkers of wine, because of the sweet wine, for it has been cut off from your mouth.
14302	16	1	6	1	6	For a nation has invaded My land, powerful and without number; its teeth are the teeth of a lion, and its fangs are the fangs of a lioness.
14303	16	1	7	1	7	It has laid waste My grapevine and splintered My fig tree. It has stripped off the bark and thrown it away; the branches have turned white.
14304	16	1	8	1	8	Wail like a virgin dressed in sackcloth, grieving for the husband of her youth.
14305	16	1	9	1	9	Grain and drink offerings have been cut off from the house of the LORD; the priests are in mourning, those who minister before the LORD.
14306	16	1	10	1	10	The field is ruined; the land mourns. For the grain is destroyed, the new wine is dried up, and the oil fails.
14307	16	1	11	1	11	Be dismayed, O farmers, wail, O vinedressers, over the wheat and barley, because the harvest of the field has perished.
14308	16	1	12	1	12	The grapevine is dried up, and the fig tree is withered; the pomegranate, palm, and apple—all the trees of the orchard—are withered. Surely the joy of mankind has dried up.
14309	16	1	13	1	13	Put on sackcloth and lament, O priests; wail, O ministers of the altar. Come, spend the night in sackcloth, O ministers of my God, because the grain and drink offerings are withheld from the house of your God.
14310	16	1	14	1	14	Consecrate a fast; proclaim a solemn assembly! Gather the elders and all the residents of the land to the house of the LORD your God, and cry out to the LORD.
